Filename                                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
mining\src\block_template\builder.rs                                                      47                 4    91.49%           3                 0   100.00%          37                 2    94.59%           0                 0         -
mining\src\block_template\model\tx.rs                                                     81                29    64.20%           9                 4    55.56%          48                16    66.67%           0                 0         -
mining\src\block_template\policy.rs                                                        3                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
mining\src\block_template\selector.rs                                                    348                69    80.17%          19                 1    94.74%         170                33    80.59%           0                 0         -
mining\src\cache.rs                                                                       49                 1    97.96%           8                 0   100.00%          34                 2    94.12%           0                 0         -
mining\src\feerate\mod.rs                                                                242                 2    99.17%          14                 0   100.00%         108                 0   100.00%           0                 0         -
mining\src\lib.rs                                                                        129                65    49.61%          10                 6    40.00%          86                39    54.65%           0                 0         -
mining\src\manager.rs                                                                   1165               410    64.81%         100                39    61.00%         707               248    64.92%           0                 0         -
mining\src\mempool\check_transaction_standard.rs                                         366                13    96.45%           8                 0   100.00%         363                14    96.14%           0                 0         -
mining\src\mempool\config.rs                                                              42                20    52.38%           4                 1    75.00%          77                43    44.16%           0                 0         -
mining\src\mempool\errors.rs                                                               3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
mining\src\mempool\handle_new_block_transactions.rs                                      124                34    72.58%           6                 4    33.33%          53                13    75.47%           0                 0         -
mining\src\mempool\mod.rs                                                                169                31    81.66%          19                 3    84.21%          91                12    86.81%           0                 0         -
mining\src\mempool\model\accepted_transactions.rs                                         65                46    29.23%           9                 5    44.44%          44                32    27.27%           0                 0         -
mining\src\mempool\model\frontier.rs                                                     733                14    98.09%          25                 1    96.00%         311                 8    97.43%           0                 0         -
mining\src\mempool\model\frontier\feerate_key.rs                                          87                 5    94.25%          10                 1    90.00%          42                 4    90.48%           0                 0         -
mining\src\mempool\model\frontier\search_tree.rs                                         379                 2    99.47%          26                 0   100.00%         163                 2    98.77%           0                 0         -
mining\src\mempool\model\frontier\selectors.rs                                           116                11    90.52%          17                 3    82.35%          69                10    85.51%           0                 0         -
mining\src\mempool\model\orphan_pool.rs                                                  323               116    64.09%          27                 8    70.37%         196                60    69.39%           0                 0         -
mining\src\mempool\model\pool.rs                                                         181                84    53.59%          25                14    44.00%          93                42    54.84%           0                 0         -
mining\src\mempool\model\transactions_pool.rs                                            316                59    81.33%          26                 5    80.77%         186                38    79.57%           0                 0         -
mining\src\mempool\model\tx.rs                                                            52                17    67.31%          10                 2    80.00%          42                15    64.29%           0                 0         -
mining\src\mempool\model\utxo_set.rs                                                     120                 5    95.83%           7                 0   100.00%          67                 2    97.01%           0                 0         -
mining\src\mempool\populate_entries_and_try_validate.rs                                   44                 0   100.00%           6                 0   100.00%          30                 0   100.00%           0                 0         -
mining\src\mempool\remove_transaction.rs                                                  72                25    65.28%           2                 1    50.00%          39                10    74.36%           0                 0         -
mining\src\mempool\replace_by_fee.rs                                                     131                13    90.08%           4                 0   100.00%          75                 7    90.67%           0                 0         -
mining\src\mempool\validate_and_insert_transaction.rs                                    251                29    88.45%           8                 0   100.00%         138                16    88.41%           0                 0         -
mining\src\model\candidate_tx.rs                                                           4                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
mining\src\model\owner_txs.rs                                                              6                 6     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
mining\src\model\topological_index.rs                                                    350                 7    98.00%          18                 0   100.00%         188                 3    98.40%           0                 0         -
mining\src\model\topological_sort.rs                                                     341               257    24.63%          35                25    28.57%         182               135    25.82%           0                 0         -
mining\src\model\tx_insert.rs                                                              3                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
mining\src\model\tx_query.rs                                                               8                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
mining\src\monitor.rs                                                                     80                40    50.00%           9                 1    88.89%          65                30    53.85%           0                 0         -
mining\src\testutils\coinbase_mock.rs                                                     75                 0   100.00%           4                 0   100.00%          32                 0   100.00%           0                 0         -
mining\src\testutils\consensus_mock.rs                                                   210                 2    99.05%          19                 0   100.00%         116                 1    99.14%           0                 0         -
notify\src\address\mod.rs                                                                 17                 0   100.00%           1                 0   100.00%          10                 0   100.00%           0                 0         -
notify\src\address\tracker.rs                                                            740               168    77.30%          84                29    65.48%         418               110    73.68%           0                 0         -
notify\src\broadcaster.rs                                                                418                19    95.45%          25                 1    96.00%         228                 7    96.93%           0                 0         -
notify\src\collector.rs                                                                  144                16    88.89%          15                 5    66.67%          79                18    77.22%           0                 0         -
notify\src\connection.rs                                                                  31                 5    83.87%           8                 1    87.50%          25                 4    84.00%           0                 0         -
notify\src\converter.rs                                                                    8                 3    62.50%           3                 1    66.67%           8                 3    62.50%           0                 0         -
notify\src\error.rs                                                                       12                12     0.00%           4                 4     0.00%          12                12     0.00%           0                 0         -
notify\src\events.rs                                                                      72                22    69.44%          11                 1    90.91%          53                13    75.47%           0                 0         -
notify\src\listener.rs                                                                    46                 2    95.65%           6                 0   100.00%          32                 1    96.88%           0                 0         -
notify\src\notification.rs                                                               116                32    72.41%          17                 6    64.71%         103                26    74.76%           0                 0         -
notify\src\notifier.rs                                                                  1003                72    92.82%          78                 8    89.74%         610                32    94.75%           0                 0         -
notify\src\root.rs                                                                       121                23    80.99%          16                 2    87.50%          66                11    83.33%           0                 0         -
notify\src\scope.rs                                                                      213               169    20.66%          35                26    25.71%         121                92    23.97%           0                 0         -
notify\src\subscriber.rs                                                                  94                 6    93.62%          16                 0   100.00%          74                 2    97.30%           0                 0         -
notify\src\subscription\array.rs                                                          60                 3    95.00%           6                 0   100.00%          39                 2    94.87%           0                 0         -
notify\src\subscription\compounded.rs                                                    410                34    91.71%          50                 7    86.00%         281                24    91.46%           0                 0         -
notify\src\subscription\context.rs                                                       233               202    13.30%          43                37    13.95%         155               133    14.19%           0                 0         -
notify\src\subscription\mod.rs                                                           105                 7    93.33%          24                 3    87.50%          75                 5    93.33%           0                 0         -
notify\src\subscription\single.rs                                                       1011                84    91.69%          93                 9    90.32%         721                46    93.62%           0                 0         -
oracle\core\src\journal.rs                                                                18                 2    88.89%           3                 2    33.33%           9                 2    77.78%           0                 0         -
oracle\core\src\lib.rs                                                                    93                 0   100.00%           9                 0   100.00%          75                 0   100.00%           0                 0         -
oracle\core\src\price.rs                                                                  18                18     0.00%          11                11     0.00%          15                15     0.00%           0                 0         -
oracle\feeds\src\account.rs                                                              223                 7    96.86%          13                 0   100.00%         116                 4    96.55%           0                 0         -
oracle\feeds\src\lib.rs                                                                   18                 3    83.33%           4                 1    75.00%          11                 2    81.82%           0                 0         -
oracle\feeds\src\pythnet.rs                                                               78                29    62.82%           9                 4    55.56%          49                19    61.22%           0                 0         -
oracle\feeds\src\rpc.rs                                                                  259               165    36.29%          33                28    15.15%         131                82    37.40%           0                 0         -
oracle\host\src\air.rs                                                                   361                 0   100.00%          20                 0   100.00%         166                 0   100.00%           0                 0         -
oracle\host\src\chips\ed25519\decompress.rs                                              311                 1    99.68%          19                 0   100.00%         162                 1    99.38%           0                 0         -
oracle\host\src\chips\ed25519\decompress_air.rs                                          515                18    96.50%          17                 4    76.47%         238                28    88.24%           0                 0         -
oracle\host\src\chips\ed25519\decompress_air_chunked.rs                                  522                18    96.55%          17                 4    76.47%         241                28    88.38%           0                 0         -
oracle\host\src\chips\ed25519\point.rs                                                   266                 0   100.00%          17                 0   100.00%         131                 0   100.00%           0                 0         -
oracle\host\src\chips\ed25519\point_add_air.rs                                           581                12    97.93%          23                 4    82.61%         314                12    96.18%           0                 0         -
oracle\host\src\chips\ed25519\point_add_air_chunked.rs                                   591                15    97.46%          23                 5    78.26%         321                15    95.33%           0                 0         -
oracle\host\src\chips\ed25519\scalar_mul.rs                                              287                 0   100.00%          18                 0   100.00%         137                 0   100.00%           0                 0         -
oracle\host\src\chips\ed25519\scalar_mul_air.rs                                          408                13    96.81%          20                 4    80.00%         213                12    94.37%           0                 0         -
oracle\host\src\chips\ed25519\scalar_mul_air_chunked.rs                                  354               344     2.82%          16                15     6.25%         184               176     4.35%           0                 0         -
oracle\host\src\chips\ed25519\verify.rs                                                  372                40    89.25%          20                 2    90.00%         208                36    82.69%           0                 0         -
oracle\host\src\chips\ed25519\verify_air.rs                                              320               317     0.94%          14                13     7.14%         170               167     1.76%           0                 0         -
oracle\host\src\chips\ed25519\verify_air_chunked.rs                                      339               323     4.72%          15                14     6.67%         223               209     6.28%           0                 0         -
oracle\host\src\chips\field25519\add.rs                                                  200                21    89.50%          20                 7    65.00%         113                21    81.42%           0                 0         -
oracle\host\src\chips\field25519\add_canonical.rs                                        225                12    94.67%          19                 4    78.95%         131                12    90.84%           0                 0         -
oracle\host\src\chips\field25519\add_canonical_chunked.rs                                828                12    98.55%          38                 4    89.47%         433                12    97.23%           0                 0         -
oracle\host\src\chips\field25519\add_trunc.rs                                            240                12    95.00%          20                 4    80.00%         126                12    90.48%           0                 0         -
oracle\host\src\chips\field25519\arith.rs                                                239                 0   100.00%          21                 0   100.00%         119                 0   100.00%           0                 0         -
oracle\host\src\chips\field25519\carry_fold.rs                                           358                15    95.81%          24                 4    83.33%         198                13    93.43%           0                 0         -
oracle\host\src\chips\field25519\cond_p_sub.rs                                           265                12    95.47%          18                 4    77.78%         149                12    91.95%           0                 0         -
oracle\host\src\chips\field25519\cond_p_sub_chunked.rs                                   430                12    97.21%          22                 4    81.82%         217                12    94.47%           0                 0         -
oracle\host\src\chips\field25519\eq.rs                                                   314                15    95.22%          18                 5    72.22%         181                15    91.71%           0                 0         -
oracle\host\src\chips\field25519\first_fold.rs                                           571                12    97.90%          24                 4    83.33%         321                12    96.26%           0                 0         -
oracle\host\src\chips\field25519\first_fold_chunked.rs                                   876                12    98.63%          29                 4    86.21%         454                12    97.36%           0                 0         -
oracle\host\src\chips\field25519\is_zero.rs                                              300                15    95.00%          20                 5    75.00%         169                15    91.12%           0                 0         -
oracle\host\src\chips\field25519\limb_assembly.rs                                        324                18    94.44%          23                 4    82.61%         171                17    90.06%           0                 0         -
oracle\host\src\chips\field25519\limb_assembly_chunked.rs                                375                22    94.13%          21                 4    80.95%         190                20    89.47%           0                 0         -
oracle\host\src\chips\field25519\mod.rs                                                  104                 1    99.04%           6                 0   100.00%          65                 0   100.00%           0                 0         -
oracle\host\src\chips\field25519\mod_p.rs                                                583                31    94.68%          34                 1    97.06%         344                19    94.48%           0                 0         -
oracle\host\src\chips\field25519\mod_p_chip.rs                                           321                12    96.26%          18                 4    77.78%         191                12    93.72%           0                 0         -
oracle\host\src\chips\field25519\mod_p_chip_full.rs                                      341                12    96.48%          21                 4    80.95%         222                12    94.59%           0                 0         -
oracle\host\src\chips\field25519\mod_p_chunked.rs                                        352                16    95.45%          24                 5    79.17%         188                15    92.02%           0                 0         -
oracle\host\src\chips\field25519\mul.rs                                                  499                12    97.60%          29                 4    86.21%         241                12    95.02%           0                 0         -
oracle\host\src\chips\field25519\mul_canonical.rs                                        297                15    94.95%          18                 5    72.22%         198                15    92.42%           0                 0         -
oracle\host\src\chips\field25519\mul_canonical_full.rs                                   283                12    95.76%          20                 4    80.00%         168                12    92.86%           0                 0         -
oracle\host\src\chips\field25519\mul_canonical_full_chunked.rs                           289                12    95.85%          20                 4    80.00%         168                12    92.86%           0                 0         -
oracle\host\src\chips\field25519\mul_pipeline.rs                                         284                12    95.77%          20                 4    80.00%         159                12    92.45%           0                 0         -
oracle\host\src\chips\field25519\mul_pipeline_chunked.rs                                 285                12    95.79%          20                 4    80.00%         148                12    91.89%           0                 0         -
oracle\host\src\chips\field25519\pow_air.rs                                              237                10    95.78%          12                 3    75.00%         110                 9    91.82%           0                 0         -
oracle\host\src\chips\field25519\pow_air_chunked.rs                                      233                10    95.71%          11                 3    72.73%         110                 9    91.82%           0                 0         -
oracle\host\src\chips\field25519\reduce.rs                                               267                12    95.51%          19                 4    78.95%         140                12    91.43%           0                 0         -
oracle\host\src\chips\field25519\second_fold.rs                                          493                12    97.57%          22                 4    81.82%         252                12    95.24%           0                 0         -
oracle\host\src\chips\field25519\second_fold_chunked.rs                                 1428                19    98.67%          36                 4    88.89%         702                19    97.29%           0                 0         -
oracle\host\src\chips\field25519\sub.rs                                                  191                12    93.72%          16                 4    75.00%         101                12    88.12%           0                 0         -
oracle\host\src\chips\field25519\sub_canonical.rs                                        211                12    94.31%          18                 4    77.78%         123                12    90.24%           0                 0         -
oracle\host\src\chips\field25519\sub_canonical_chunked.rs                                893                14    98.43%          32                 4    87.50%         455                15    96.70%           0                 0         -
oracle\host\src\chips\field25519\sub_trunc.rs                                            268                12    95.52%          20                 4    80.00%         141                12    91.49%           0                 0         -
oracle\host\src\chips\lookup\byte_range.rs                                               123                15    87.80%          15                 5    66.67%          76                15    80.26%           0                 0         -
oracle\host\src\chips\lookup\range_n.rs                                                  263                26    90.11%          31                 8    74.19%         154                25    83.77%           0                 0         -
oracle\host\src\chips\scalar25519\reduce_mod_l.rs                                        384                 9    97.66%          20                 0   100.00%         210                 7    96.67%           0                 0         -
oracle\host\src\chips\scalar25519\reduce_mod_l_air.rs                                    686                 0   100.00%          36                 0   100.00%         352                 0   100.00%           0                 0         -
oracle\host\src\chips\sha512\big_sigma.rs                                                276                12    95.65%          17                 4    76.47%         148                12    91.89%           0                 0         -
oracle\host\src\chips\sha512\ch.rs                                                       312                12    96.15%          17                 4    76.47%         160                12    92.50%           0                 0         -
oracle\host\src\chips\sha512\compression.rs                                              117                 0   100.00%           8                 0   100.00%          68                 0   100.00%           0                 0         -
oracle\host\src\chips\sha512\compression_chip.rs                                        1585                61    96.15%          56                 6    89.29%         686                33    95.19%           0                 0         -
oracle\host\src\chips\sha512\maj.rs                                                      376                12    96.81%          19                 4    78.95%         184                12    93.48%           0                 0         -
oracle\host\src\chips\sha512\round.rs                                                    190                 0   100.00%          19                 0   100.00%          97                 0   100.00%           0                 0         -
oracle\host\src\chips\sha512\round_chip.rs                                               521                12    97.70%          21                 4    80.95%         245                12    95.10%           0                 0         -
oracle\host\src\chips\sha512\schedule.rs                                                  64                 0   100.00%           9                 0   100.00%          36                 0   100.00%           0                 0         -
oracle\host\src\chips\sha512\schedule_step.rs                                            385                12    96.88%          23                 4    82.61%         192                12    93.75%           0                 0         -
oracle\host\src\chips\sha512\small_sigma.rs                                              260                12    95.38%          16                 4    75.00%         143                12    91.61%           0                 0         -
oracle\host\src\chips\sha512\word64_add.rs                                               354                12    96.61%          25                 4    84.00%         180                12    93.33%           0                 0         -
oracle\host\src\chips\sha512\word64_add3.rs                                              339                15    95.58%          22                 5    77.27%         163                15    90.80%           0                 0         -
oracle\host\src\chips\sha512\word64_and.rs                                               328                15    95.43%          22                 5    77.27%         173                15    91.33%           0                 0         -
oracle\host\src\chips\sha512\word64_eq.rs                                                315                15    95.24%          17                 5    70.59%         164                15    90.85%           0                 0         -
oracle\host\src\chips\sha512\word64_is_zero.rs                                           282                15    94.68%          18                 5    72.22%         151                15    90.07%           0                 0         -
oracle\host\src\chips\sha512\word64_not.rs                                               227                15    93.39%          16                 5    68.75%         119                15    87.39%           0                 0         -
oracle\host\src\chips\sha512\word64_rotr_const.rs                                        212                15    92.92%          18                 5    72.22%         119                15    87.39%           0                 0         -
oracle\host\src\chips\sha512\word64_shr_const.rs                                         224                15    93.30%          18                 5    72.22%         117                15    87.18%           0                 0         -
oracle\host\src\chips\sha512\word64_xor.rs                                               345                15    95.65%          22                 5    77.27%         183                15    91.80%           0                 0         -
oracle\host\src\config.rs                                                                 41                 0   100.00%           1                 0   100.00%          21                 0   100.00%           0                 0         -
oracle\host\src\decompress_air_stark.rs                                                  345               152    55.94%          22                 9    59.09%         186                75    59.68%           0                 0         -
oracle\host\src\decompress_air_stark_chunked.rs                                          264                92    65.15%          16                 6    62.50%         151                56    62.91%           0                 0         -
oracle\host\src\lib.rs                                                                   235                 7    97.02%          17                 2    88.24%         143                 2    98.60%           0                 0         -
oracle\host\src\reduce_mod_l_air_stark.rs                                                201               101    49.75%          16                 9    43.75%          88                43    51.14%           0                 0         -
oracle\host\src\scalar_mul_air_stark.rs                                                  315               153    51.43%          20                 9    55.00%         165                67    59.39%           0                 0         -
oracle\host\src\scalar_mul_air_stark_chunked.rs                                          230                85    63.04%          16                 6    62.50%         130                41    68.46%           0                 0         -
oracle\host\src\sha512_air_stark.rs                                                      383               293    23.50%          22                17    22.73%         166               121    27.11%           0                 0         -
oracle\host\src\verify_air_stark.rs                                                      440               129    70.68%          21                 6    71.43%         220                44    80.00%           0                 0         -
oracle\host\src\verify_air_stark_chunked.rs                                              352               203    42.33%          17                 9    47.06%         191               100    47.64%           0                 0         -
oracle\pqc-contract\src\lib.rs                                                           223                53    76.23%          21                 6    71.43%         129                25    80.62%           0                 0         -
oracle\pqc-core\src\sign.rs                                                              331                 1    99.70%          18                 0   100.00%         138                 0   100.00%           0                 0         -
oracle\pqc-core\src\source.rs                                                            408                14    96.57%          36                 3    91.67%         217                11    94.93%           0                 0         -
oracle\pqc-core\src\types.rs                                                              73                 3    95.89%           9                 3    66.67%          41                 3    92.68%           0                 0         -
oracle\pqc-publisher\src\lib.rs                                                          363                13    96.42%          21                 0   100.00%         151                 0   100.00%           0                 0         -
oracle\pqc-publisher\src\main.rs                                                         430               430     0.00%          31                31     0.00%         229               229     0.00%           0                 0         -
oracle\pqc-tests\src\scenarios.rs                                                        502                 3    99.40%          23                 0   100.00%         218                 1    99.54%           0                 0         -
oracle\relayer\src\config.rs                                                             203                14    93.10%          18                 2    88.89%         120                 4    96.67%           0                 0         -
oracle\relayer\src\daemon.rs                                                             423               104    75.41%          28                 9    67.86%         219                59    73.06%           0                 0         -
oracle\relayer\src\main.rs                                                               211               211     0.00%          21                21     0.00%         131               131     0.00%           0                 0         -
oracle\relayer\src\pipeline.rs                                                           337               170    49.55%          22                 8    63.64%         188                59    68.62%           0                 0         -
oracle\relayer\src\sign.rs                                                               628                20    96.82%          27                 3    88.89%         265                 5    98.11%           0                 0         -
oracle\relayer\src\state.rs                                                              176                19    89.20%          18                 4    77.78%          87                 4    95.40%           0                 0         -
oracle\relayer\src\submit.rs                                                             144                 3    97.92%          16                 1    93.75%          86                 2    97.67%           0                 0         -
protocol\flows\src\flow_context.rs                                                       658               374    43.16%          79                48    39.24%         388               208    46.39%           0                 0         -
protocol\flows\src\flow_trait.rs                                                          25                25     0.00%           3                 3     0.00%          16                16     0.00%           0                 0         -
protocol\flows\src\flowcontext\orphans.rs                                                522                71    86.40%          29                 4    86.21%         211                41    80.57%           0                 0         -
protocol\flows\src\flowcontext\process_queue.rs                                          107                17    84.11%          12                 2    83.33%          52                 9    82.69%           0                 0         -
protocol\flows\src\flowcontext\transactions.rs                                            81                56    30.86%          10                 6    40.00%          52                28    46.15%           0                 0         -
protocol\flows\src\ibd\flow.rs                                                          1174              1174     0.00%          61                61     0.00%         611               611     0.00%           0                 0         -
protocol\flows\src\ibd\negotiate.rs                                                      145               145     0.00%           6                 6     0.00%         115               115     0.00%           0                 0         -
protocol\flows\src\ibd\progress.rs                                                        49                49     0.00%           3                 3     0.00%          41                41     0.00%           0                 0         -
protocol\flows\src\ibd\streams.rs                                                        133               133     0.00%          12                12     0.00%          91                91     0.00%           0                 0         -
protocol\flows\src\service.rs                                                             79                13    83.54%           7                 1    85.71%          65                 5    92.31%           0                 0         -
protocol\flows\src\v7\address.rs                                                          68                68     0.00%          11                11     0.00%          43                43     0.00%           0                 0         -
protocol\flows\src\v7\blockrelay\flow.rs                                                 347               347     0.00%          23                23     0.00%         199               199     0.00%           0                 0         -
protocol\flows\src\v7\blockrelay\handle_requests.rs                                       69                69     0.00%           7                 7     0.00%          34                34     0.00%           0                 0         -
protocol\flows\src\v7\mod.rs                                                             212               212     0.00%           2                 2     0.00%         124               124     0.00%           0                 0         -
protocol\flows\src\v7\ping.rs                                                             69                69     0.00%          10                10     0.00%          41                41     0.00%           0                 0         -
protocol\flows\src\v7\request_antipast.rs                                                 76                76     0.00%           9                 9     0.00%          32                32     0.00%           0                 0         -
protocol\flows\src\v7\request_block_locator.rs                                            43                43     0.00%           6                 6     0.00%          21                21     0.00%           0                 0         -
protocol\flows\src\v7\request_headers.rs                                                 110               110     0.00%           7                 7     0.00%          53                53     0.00%           0                 0         -
protocol\flows\src\v7\request_ibd_blocks.rs                                               42                42     0.00%           5                 5     0.00%          18                18     0.00%           0                 0         -
protocol\flows\src\v7\request_ibd_chain_block_locator.rs                                  51                51     0.00%           6                 6     0.00%          28                28     0.00%           0                 0         -
protocol\flows\src\v7\request_pp_proof.rs                                                 33                33     0.00%           6                 6     0.00%          21                21     0.00%           0                 0         -
protocol\flows\src\v7\request_pruning_point_and_anticone.rs                               89                89     0.00%           8                 8     0.00%          55                55     0.00%           0                 0         -
protocol\flows\src\v7\request_pruning_point_utxo_set.rs                                   97                97     0.00%          12                12     0.00%          55                55     0.00%           0                 0         -
protocol\flows\src\v7\txrelay\flow.rs                                                    325               248    23.69%          25                22    12.00%         201               156    22.39%           0                 0         -
protocol\flows\src\v8\mod.rs                                                             223               223     0.00%           2                 2     0.00%         130               130     0.00%           0                 0         -
protocol\flows\src\v8\request_block_bodies.rs                                             41                41     0.00%           5                 5     0.00%          18                18     0.00%           0                 0         -
protocol\mining\src\rule_engine.rs                                                       124                43    65.32%          13                 1    92.31%          84                30    64.29%           0                 0         -
protocol\mining\src\rules\sync_rate_rule.rs                                              246                28    88.62%           9                 0   100.00%         139                11    92.09%           0                 0         -
protocol\p2p\src\bin\client.rs                                                            33                33     0.00%           2                 2     0.00%          17                17     0.00%           0                 0         -
protocol\p2p\src\bin\server.rs                                                            39                39     0.00%           2                 2     0.00%          19                19     0.00%           0                 0         -
protocol\p2p\src\common.rs                                                                34                34     0.00%           6                 6     0.00%          23                23     0.00%           0                 0         -
protocol\p2p\src\convert\block.rs                                                         52                52     0.00%           8                 8     0.00%          24                24     0.00%           0                 0         -
protocol\p2p\src\convert\ghostdag.rs                                                      95                95     0.00%           8                 8     0.00%          38                38     0.00%           0                 0         -
protocol\p2p\src\convert\hash.rs                                                          25                21    16.00%           6                 5    16.67%          18                15    16.67%           0                 0         -
protocol\p2p\src\convert\header.rs                                                       124               124     0.00%          11                11     0.00%          72                72     0.00%           0                 0         -
protocol\p2p\src\convert\messages.rs                                                     256               256     0.00%          41                41     0.00%         130               130     0.00%           0                 0         -
protocol\p2p\src\convert\model\trusted.rs                                                 88                88     0.00%           7                 7     0.00%          42                42     0.00%           0                 0         -
protocol\p2p\src\convert\model\version.rs                                                 26                26     0.00%           2                 2     0.00%          25                25     0.00%           0                 0         -
protocol\p2p\src\convert\net_address.rs                                                   90                17    81.11%           6                 2    66.67%          38                 9    76.32%           0                 0         -
protocol\p2p\src\convert\option.rs                                                        20                20     0.00%           3                 3     0.00%           9                 9     0.00%           0                 0         -
protocol\p2p\src\convert\pruning.rs                                                       23                23     0.00%           4                 4     0.00%          10                10     0.00%           0                 0         -
protocol\p2p\src\convert\subnets.rs                                                        8                 8     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
protocol\p2p\src\convert\trusted.rs                                                       11                11     0.00%           2                 2     0.00%           7                 7     0.00%           0                 0         -
protocol\p2p\src\convert\tx.rs                                                           136               136     0.00%          20                20     0.00%          73                73     0.00%           0                 0         -
protocol\p2p\src\convert\utxo.rs                                                           9                 9     0.00%           2                 2     0.00%          11                11     0.00%           0                 0         -
protocol\p2p\src\core\adaptor.rs                                                          84                25    70.24%          13                 2    84.62%          48                 8    83.33%           0                 0         -
protocol\p2p\src\core\connection_handler.rs                                              181                22    87.85%          16                 0   100.00%         103                14    86.41%           0                 0         -
protocol\p2p\src\core\hub.rs                                                             233               129    44.64%          33                15    54.55%         141                72    48.94%           0                 0         -
protocol\p2p\src\core\payload_type.rs                                                     48                42    12.50%           1                 0   100.00%          48                42    12.50%           0                 0         -
protocol\p2p\src\core\peer.rs                                                             45                32    28.89%          11                 8    27.27%          40                24    40.00%           0                 0         -
protocol\p2p\src\core\router.rs                                                          346               134    61.27%          39                16    58.97%         227                89    60.79%           0                 0         -
protocol\p2p\src\echo.rs                                                                 169                15    91.12%          10                 2    80.00%         117                 9    92.31%           0                 0         -
protocol\p2p\src\handshake.rs                                                             85                10    88.24%           9                 0   100.00%          48                 0   100.00%           0                 0         -
rollup\bridge\deposit\src\lib.rs                                                          48                 2    95.83%          11                 2    81.82%          32                 2    93.75%           0                 0         -
rollup\bridge\withdrawal\src\lib.rs                                                      279                61    78.14%          22                 3    86.36%         142                37    73.94%           0                 0         -
rollup\core\src\lib.rs                                                                    97                 0   100.00%           7                 0   100.00%          74                 0   100.00%           0                 0         -
rollup\core\src\merkle.rs                                                                151                 0   100.00%          11                 0   100.00%          69                 0   100.00%           0                 0         -
rollup\core\src\types.rs                                                                 100                24    76.00%          30                24    20.00%          60                24    60.00%           0                 0         -
rollup\sequencer\src\batch.rs                                                            405                71    82.47%          24                 3    87.50%         180                27    85.00%           0                 0         -
rollup\sequencer\src\config.rs                                                            37                 4    89.19%           5                 1    80.00%          29                 3    89.66%           0                 0         -
rollup\sequencer\src\l1_client.rs                                                        223               210     5.83%          48                44     8.33%         193               177     8.29%           0                 0         -
rollup\sequencer\src\mempool.rs                                                          281                12    95.73%          16                 2    87.50%         130                 7    94.62%           0                 0         -
rollup\sequencer\src\rpc.rs                                                               48                48     0.00%           9                 9     0.00%          25                25     0.00%           0                 0         -
rollup\sequencer\src\sequencer.rs                                                        229                32    86.03%          13                 2    84.62%         110                15    86.36%           0                 0         -
rollup\verifier\src\lib.rs                                                               263                46    82.51%          16                 1    93.75%         140                27    80.71%           0                 0         -
rollup\verifier\src\state.rs                                                               4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
rothschild\src\main.rs                                                                   749               749     0.00%          40                40     0.00%         484               484     0.00%           0                 0         -
rpc\core\src\api\ctl.rs                                                                   65                65     0.00%          13                13     0.00%          41                41     0.00%           0                 0         -
rpc\core\src\api\notifications.rs                                                        210               193     8.10%           7                 4    42.86%         103                84    18.45%           0                 0         -
rpc\core\src\api\ops.rs                                                                   21                21     0.00%           5                 5     0.00%          21                21     0.00%           0                 0         -
rpc\core\src\api\rpc.rs                                                                  108                96    11.11%          54                48    11.11%         108                96    11.11%           0                 0         -
rpc\core\src\convert\block.rs                                                             85                52    38.82%          10                 6    40.00%          64                37    42.19%           0                 0         -
rpc\core\src\convert\notification.rs                                                      95                66    30.53%          17                12    29.41%          71                49    30.99%           0                 0         -
rpc\core\src\convert\scope.rs                                                             13                 3    76.92%           4                 1    75.00%          11                 3    72.73%           0                 0         -
rpc\core\src\convert\tx.rs                                                               187               147    21.39%          12                10    16.67%         108                77    28.70%           0                 0         -
rpc\core\src\convert\utxo.rs                                                              30                11    63.33%           4                 1    75.00%          17                 4    76.47%           0                 0         -
rpc\core\src\convert\verbosity.rs                                                         17                11    35.29%           4                 2    50.00%          21                11    47.62%           0                 0         -
rpc\core\src\error.rs                                                                     12                 9    25.00%           4                 3    25.00%          12                 9    25.00%           0                 0         -
rpc\core\src\model\address.rs                                                             67                12    82.09%           4                 0   100.00%          24                 0   100.00%           0                 0         -
rpc\core\src\model\block.rs                                                              171                36    78.95%           6                 0   100.00%          65                 0   100.00%           0                 0         -
rpc\core\src\model\commitment.rs                                                         251                27    89.24%          19                 1    94.74%         129                 4    96.90%           0                 0         -
rpc\core\src\model\da.rs                                                                 592               132    77.70%          45                 6    86.67%         269                29    89.22%           0                 0         -
rpc\core\src\model\events.rs                                                             400                52    87.00%          16                 0   100.00%         167                 0   100.00%           0                 0         -
rpc\core\src\model\feerate_estimate.rs                                                   118               107     9.32%           7                 6    14.29%          49                43    12.24%           0                 0         -
